subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,sx,sy,ex,ey
501,1,1_back,1,mst_257_A_l2.png,L,1745419,1745444,26,918,NaN,0,506
501,1,1_back,1,mst_257_A_l2.png,L,1745705,1745729,25,943,NaN,8,591
501,1,1_back,1,mst_257_A_l2.png,L,1745787,1745792,6,930,NaN,8,670
501,1,1_back,1,mst_257_A_l2.png,L,1746172,1746202,31,972,NaN,9,606
501,1,1_back,1,mst_257_A_l2.png,L,1746537,1746554,18,943,NaN,7,508
501,1,1_back,2,mst_257_A_l2.png,L,1746874,1746889,16,917,NaN,8,543
501,1,1_back,2,mst_257_B_l2.png,L,1747868,1747891,24,934,NaN,1,511
501,1,1_back,2,mst_257_B_l2.png,L,1748187,1748428,242,932,NaN,0,475
501,1,1_back,2,mst_257_B_l2.png,L,1748621,1748661,41,949,NaN,6,515
501,1,1_back,3,mst_257_B_l2.png,L,1749015,1749038,24,932,NaN,5,419
501,1,1_back,3,mst_257_B_l2.png,L,1749264,1749281,18,923,NaN,1,488
501,1,1_back,3,mst_087_A_l1.png,L,1749955,1749973,19,922,NaN,6,496
501,1,1_back,3,mst_087_A_l1.png,L,1750104,1750387,284,939,NaN,1,492
501,1,1_back,4,mst_087_A_l1.png,L,1751364,1751375,12,926,NaN,4,487
501,1,1_back,4,mst_155_A_l1.png,L,1751917,1751937,21,912,NaN,2,493
501,1,1_back,4,mst_155_A_l1.png,L,1752663,1752681,19,902,NaN,7,458
501,1,1_back,4,mst_155_A_l1.png,L,1752947,1752962,16,946,NaN,6,491
501,1,1_back,5,mst_155_A_l1.png,L,1753181,1753207,27,949,NaN,8,521
501,1,1_back,5,mst_155_A_l1.png,L,1753419,1753439,21,908,NaN,3,461
501,1,1_back,5,mst_155_B_l1.png,L,1754054,1754077,24,917,NaN,2,500
501,1,1_back,5,mst_155_B_l1.png,L,1754681,1754703,23,894,NaN,4,473
501,1,1_back,5,mst_155_B_l1.png,L,1755214,1755241,28,880,NaN,3,534
501,1,1_back,6,mst_155_B_l1.png,L,1755630,1755648,19,886,NaN,0,480
501,1,1_back,6,mst_113_A_l1.png,L,1756573,1756590,18,912,NaN,9,503
501,1,1_back,6,mst_113_A_l1.png,L,1756676,1756984,309,864,NaN,9,489
501,1,1_back,6,mst_113_A_l1.png,L,1757229,1757260,32,833,NaN,9,501
501,1,1_back,6,mst_113_A_l1.png,L,1757658,1757677,20,975,NaN,1,540
501,1,1_back,7,mst_113_A_l1.png,L,1758000,1758008,9,932,NaN,5,524
501,1,1_back,7,mst_261_A_l2.png,L,1758951,1758968,18,929,NaN,9,522
501,1,1_back,7,mst_261_A_l2.png,L,1759260,1759621,362,918,NaN,3,585
501,1,1_back,7,mst_261_A_l2.png,L,1759777,1759791,15,929,NaN,8,547
501,1,1_back,7,mst_261_A_l2.png,L,1759973,1759995,23,934,NaN,9,573
501,1,1_back,8,mst_261_A_l2.png,L,1760182,1760228,47,839,NaN,2,626
501,1,1_back,8,mst_261_A_l2.png,L,1760449,1760472,24,1032,NaN,4,475
501,1,1_back,8,mst_261_B_l2.png,L,1761621,1761646,26,947,NaN,7,554
501,1,1_back,8,mst_261_B_l2.png,L,1761897,1761944,48,833,NaN,5,624
501,1,1_back,9,mst_261_B_l2.png,L,1762416,1762460,45,1049,NaN,2,447
501,1,1_back,9,mst_261_B_l2.png,L,1762659,1762682,24,895,NaN,7,594
501,1,1_back,9,mst_010_A_l1.png,L,1764569,1764583,15,949,NaN,9,578
501,1,1_back,10,mst_010_A_l1.png,L,1765091,1765104,14,983,NaN,9,556
501,1,1_back,10,mst_010_B_l1.png,L,1766256,1766277,22,934,NaN,2,578
501,1,1_back,10,mst_010_B_l1.png,L,1766528,1766727,200,1007,NaN,9,628
501,1,1_back,10,mst_010_B_l1.png,L,1767008,1767242,235,971,NaN,6,537
501,1,1_back,11,mst_055_A_foil.png,L,1768698,1768705,8,957,NaN,1,582
501,1,1_back,12,mst_055_A_foil.png,L,1770855,1770872,18,934,NaN,0,580
501,1,1_back,12,mst_055_A_foil.png,L,1771304,1771342,39,931,NaN,9,624
501,1,1_back,13,mst_055_A_foil.png,L,1772010,1772016,7,923,NaN,2,528
501,1,1_back,13,mst_101_A_foil.png,L,1772508,1772525,18,910,NaN,9,539
501,1,1_back,13,mst_101_A_foil.png,L,1772868,1772900,33,923,NaN,6,531
501,1,1_back,13,mst_101_A_foil.png,L,1773129,1773425,297,1074,NaN,5,408
501,1,1_back,13,mst_101_A_foil.png,L,1773736,1773764,29,897,NaN,0,626
501,1,1_back,14,mst_101_A_foil.png,L,1774263,1774268,6,901,NaN,2,542
501,1,1_back,14,mst_101_A_foil.png,L,1774996,1775037,42,924,NaN,2,532
501,1,1_back,14,mst_101_A_foil.png,L,1775499,1775551,53,1086,NaN,2,397
501,1,1_back,15,mst_101_A_foil.png,L,1776235,1776262,28,908,NaN,1,619
501,1,1_back,15,mst_082_A_foil.png,L,1777025,1777066,42,936,NaN,6,539
501,1,1_back,15,mst_082_A_foil.png,L,1777488,1777514,27,957,NaN,1,439
501,1,1_back,15,mst_082_A_foil.png,L,1777929,1777945,17,952,NaN,9,500
501,1,1_back,16,mst_082_A_foil.png,L,1778573,1778599,27,963,NaN,7,466
501,1,1_back,16,mst_082_A_foil.png,L,1778937,1778956,20,940,NaN,8,528
501,1,1_back,16,mst_082_A_foil.png,L,1779927,1779948,22,958,NaN,6,469
501,1,1_back,16,mst_082_A_foil.png,L,1780256,1780266,11,960,NaN,5,396
501,1,1_back,17,mst_082_A_foil.png,L,1780733,1781086,354,960,NaN,5,427
501,1,1_back,17,mst_309_A_l2.png,L,1781857,1781895,39,944,NaN,0,492
