subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur
611,1,1_back,1,NA,L,1535690,1536013,324
611,1,1_back,1,mst_097_A_l1.png,L,1537250,1537317,68
611,1,1_back,3,mst_312_A_foil.png,L,1541550,1541645,96
611,1,1_back,5,mst_102_A_l1.png,L,1545583,1545680,98
611,1,1_back,8,mst_079_A_l1.png,L,1552775,1552926,152
611,1,1_back,9,mst_585_A_foil.png,L,1555057,1555489,433
611,1,1_back,11,mst_182_A_l2.png,L,1558876,1558964,89
611,1,1_back,13,mst_191_A_l2.png,L,1563381,1563521,141
611,1,1_back,23,mst_070_A_foil.png,L,1585505,1585592,88
611,1,1_back,25,mst_064_A_foil.png,L,1590239,1590342,104
611,1,1_back,37,mst_105_A_foil.png,L,1615754,1615766,13
611,1,1_back,37,mst_263_A_foil.png,L,1616881,1616989,109
611,1,1_back,40,mst_290_A_l2.png,L,1623707,1623852,146
611,1,1_back,45,mst_209_A_l2.png,L,1634585,1634689,105
611,1,1_back,49,mst_326_A_l2.png,L,1643602,1643707,106
611,1,1_back,51,mst_630_A_foil.png,L,1647450,1647537,88
611,1,1_back,57,mst_301_A_l2.png,L,1662134,1662327,194
611,1,1_back,59,mst_301_B_l2.png,L,1664935,1665168,234
611,1,1_back,59,mst_301_B_l2.png,L,1665454,1665562,109
611,1,1_back,64,mst_323_A_foil.png,L,1677723,1677909,187
611,1,1_back,66,mst_255_A_l2.png,L,1681469,1681636,168
611,1,1_back,67,mst_410_A_foil.png,L,1684354,1684477,124
611,1,1_back,74,mst_111_B_l1.png,L,1698852,1699025,174
611,1,1_back,77,mst_437_A_foil.png,L,1705865,1705950,86
611,1,1_back,78,mst_237_A_l2.png,L,1709457,1709519,63
611,1,1_back,79,mst_224_A_l2.png,L,1711351,1711481,131
611,1,1_back,80,mst_224_B_l2.png,L,1713884,1713961,78
611,1,1_back,81,mst_265_A_foil.png,L,1716153,1716279,127
611,1,1_back,83,mst_178_A_foil.png,L,1720269,1720400,132
611,1,1_back,86,mst_620_A_foil.png,L,1726720,1726813,94
611,1,1_back,87,mst_620_A_foil.png,L,1729172,1729300,129
611,1,1_back,89,mst_191_B_l2.png,L,1731608,1732510,903
611,1,1_back,89,mst_191_B_l2.png,L,1732602,1732692,91
611,1,1_back,90,mst_080_A_l1.png,L,1736062,1736248,187
611,1,1_back,92,mst_080_B_l1.png,L,1739640,1739753,114
611,1,1_back,92,mst_112_A_l1.png,L,1740701,1740899,199
611,1,1_back,101,mst_565_A_foil.png,L,1760767,1760848,82
611,1,1_back,103,mst_565_A_foil.png,L,1764132,1764234,103
611,1,1_back,103,mst_031_A_l1.png,L,1765027,1765112,86
611,1,1_back,109,mst_326_A_foil.png,L,1778925,1779008,84
611,1,1_back,111,mst_200_A_foil.png,L,1782820,1783117,298
611,1,1_back,112,mst_278_A_l2.png,L,1784639,1784723,85
611,1,1_back,114,mst_007_A_l1.png,L,1789412,1789582,171
611,1,1_back,115,mst_641_A_foil.png,L,1791734,1791872,139
611,1,1_back,117,mst_641_A_foil.png,L,1794985,1795090,106
611,1,1_back,120,mst_279_A_l2.png,L,1803126,1803244,119
611,1,1_back,120,mst_279_A_l2.png,L,1803579,1803721,143
611,1,1_back,123,mst_292_B_l2.png,L,1808436,1808539,104
611,1,1_back,126,mst_494_A_foil.png,L,1816719,1816962,244
611,1,1_back,127,mst_494_A_foil.png,L,1819104,1819218,115
611,1,1_back,128,mst_237_B_l2.png,L,1821451,1821584,134
611,1,1_back,135,mst_299_B_l2.png,L,1835567,1835657,91
611,1,1_back,137,mst_008_B_l1.png,L,1839584,1840177,594
611,1,1_back,137,mst_562_A_foil.png,L,1841056,1841160,105
611,1,1_back,139,mst_175_B_l1.png,L,1845398,1845512,115
611,1,1_back,142,mst_127_A_l1.png,L,1849578,1850542,965
611,1,1_back,143,mst_127_B_l1.png,L,1852622,1852710,89
611,1,1_back,143,mst_252_A_l2.png,L,1854176,1854372,197
611,1,1_back,144,mst_027_A_l1.png,L,1856169,1856371,203
611,1,1_back,147,mst_252_B_l2.png,L,1863026,1863162,137
611,1,1_back,149,mst_037_B_l1.png,L,1867451,1867474,24
611,1,1_back,149,mst_037_B_l1.png,L,1867796,1867797,2
611,1,1_back,150,mst_007_B_l1.png,L,1867847,1868966,1120
611,1,1_back,154,mst_001_A_l1.png,L,1878448,1878618,171
611,1,1_back,158,mst_221_A_l2.png,L,1885232,1886134,903
611,1,1_back,159,mst_221_B_l2.png,L,1888003,1888145,143
611,1,1_back,162,mst_074_A_l1.png,L,1893703,1895205,1503
611,1,1_back,162,mst_074_A_l1.png,L,1895397,1895516,120
611,1,1_back,166,mst_545_A_foil.png,L,1903627,1903735,109
611,1,1_back,167,mst_169_A_foil.png,L,1907047,1907287,241
611,1,1_back,171,mst_244_A_foil.png,L,1914539,1914647,109
611,1,1_back,171,mst_186_A_foil.png,L,1916056,1916142,87
611,1,1_back,173,mst_186_A_foil.png,L,1919587,1919717,131
611,1,1_back,176,mst_021_A_l1.png,L,1926171,1926235,65
611,1,1_back,178,mst_311_A_l2.png,L,1928307,1930374,2068
611,1,1_back,179,mst_213_A_l2.png,L,1933560,1933636,77
611,1,1_back,179,mst_213_A_l2.png,L,1933875,1933962,88
611,1,2_back,14,mst_279_A_l2.png,L,2270945,2271091,147
611,1,2_back,22,mst_292_A_l2.png,L,2289196,2289302,107
611,1,2_back,24,mst_195_B_l2.png,L,2292143,2292573,431
611,1,2_back,26,mst_224_A_l2.png,L,2298021,2298174,154
611,1,2_back,28,mst_102_A_l1.png,L,2302612,2302861,250
611,1,2_back,30,mst_102_A_l1.png,L,2307159,2307271,113
611,1,2_back,31,mst_290_A_l2.png,L,2309220,2309372,153
611,1,2_back,34,mst_015_A_l1.png,L,2316221,2316450,230
611,1,2_back,37,mst_291_A_l2.png,L,2322621,2322837,217
611,1,2_back,39,mst_136_A_l1.png,L,2327311,2327552,242
611,1,2_back,42,mst_193_A_l2.png,L,2332916,2333107,192
611,1,2_back,42,mst_127_A_l1.png,L,2334291,2334406,116
611,1,2_back,42,mst_127_A_l1.png,L,2334611,2334747,137
611,1,2_back,47,mst_104_A_l1.png,L,2344131,2344844,714
611,1,2_back,47,mst_104_A_l1.png,L,2345396,2345584,189
611,1,2_back,49,mst_031_A_l1.png,L,2348705,2348873,169
611,1,2_back,50,mst_104_B_l1.png,L,2351213,2351320,108
611,1,2_back,51,mst_008_A_l1.png,L,2354611,2354724,114
611,1,2_back,55,mst_240_A_l2.png,L,2363913,2364094,182
611,1,2_back,58,mst_240_B_l2.png,L,2369487,2369606,120
611,1,2_back,58,mst_331_A_l2.png,L,2371352,2371393,42
611,1,2_back,59,mst_271_A_l2.png,L,2373140,2373289,150
611,1,2_back,60,mst_341_A_l2.png,L,2375462,2375664,203
611,1,2_back,61,mst_168_A_l1.png,L,2377712,2377819,108
611,1,2_back,62,mst_074_A_l1.png,L,2379769,2379966,198
611,1,2_back,66,mst_039_A_l1.png,L,2387926,2388043,118
611,1,2_back,70,mst_117_A_l1.png,L,2397568,2397665,98
611,1,2_back,73,mst_175_A_l1.png,L,2404010,2404240,231
611,1,2_back,76,mst_301_A_l2.png,L,2410610,2410897,288
611,1,2_back,77,mst_034_A_l1.png,L,2413028,2413243,216
611,1,2_back,78,mst_027_A_l1.png,L,2415215,2415410,196
611,1,2_back,79,mst_097_A_l1.png,L,2417809,2417925,117
611,1,2_back,80,mst_027_A_l1.png,L,2419461,2419845,385
