eye,onset,offset,duration,trial_id,task,stim_id
L,2994630,2995018,389,3,1_back,mst_075_A_l1.png
L,3003721,3003766,46,7,1_back,mst_003_A_l1.png
L,3008139,3008307,169,9,1_back,mst_023_A_l1.png
L,3014971,3015409,439,12,1_back,mst_305_A_l2.png
L,3023951,3024284,334,16,1_back,mst_400_A_foil.png
L,3026595,3027647,1053,18,1_back,mst_338_A_l2.png
L,3035968,3036372,405,22,1_back,mst_237_A_l2.png
L,3037305,3037825,521,22,1_back,mst_237_A_l2.png
L,3040518,3041220,703,24,1_back,mst_317_A_l2.png
L,3044407,3045441,1035,26,1_back,mst_201_A_l2.png
L,3050379,3051105,727,28,1_back,mst_275_B_l2.png
L,3053499,3054419,921,29,1_back,mst_194_A_foil.png
L,3057041,3058201,1161,31,1_back,mst_148_A_l1.png
L,3061268,3062957,1690,33,1_back,mst_653_A_foil.png
L,3064012,3064928,917,34,1_back,mst_653_A_foil.png
L,3065442,3067565,2124,35,1_back,mst_304_A_l2.png
L,3070786,3071148,363,37,1_back,mst_052_A_foil.png
L,3072851,3072981,131,38,1_back,mst_052_A_foil.png
L,3075256,3077078,1823,39,1_back,mst_069_A_l1.png
L,3077132,3077133,2,39,1_back,mst_069_A_l1.png
L,3078047,3079936,1890,41,1_back,mst_215_A_l2.png
L,3085631,3086483,853,43,1_back,mst_331_A_l2.png
L,3090730,3091838,1109,46,1_back,mst_314_A_l2.png
L,3093740,3094601,862,47,1_back,mst_314_B_l2.png
L,3095075,3095777,703,48,1_back,mst_084_A_l1.png
L,3098215,3099047,833,49,1_back,mst_084_B_l1.png
L,3099708,3101153,1446,50,1_back,mst_249_A_l2.png
L,3101784,3102417,634,51,1_back,mst_317_B_l2.png
L,3106554,3106793,240,53,1_back,mst_748_A_foil.png
L,3108797,3111234,2438,55,1_back,mst_009_B_l1.png
L,3113296,3114362,1067,56,1_back,mst_168_A_l1.png
L,3117907,3118552,646,58,1_back,mst_014_A_l1.png
L,3118613,3120083,1471,58,1_back,mst_014_A_l1.png
L,3120196,3120654,459,59,1_back,mst_014_B_l1.png
L,3122117,3123721,1605,60,1_back,mst_248_A_l2.png
L,3125951,3129423,3473,63,1_back,mst_579_A_foil.png
L,3132583,3133371,789,64,1_back,mst_077_A_l1.png
L,3134468,3135152,685,65,1_back,mst_687_A_foil.png
L,3135308,3137254,1947,66,1_back,mst_687_A_foil.png
L,3137611,3139433,1823,67,1_back,mst_114_A_l1.png
L,3139610,3146818,7209,70,1_back,mst_106_A_l1.png
L,3149362,3151236,1875,72,1_back,mst_238_A_foil.png
L,3151414,3151414,1,73,1_back,mst_238_A_foil.png
L,3151709,3151739,31,73,1_back,mst_238_A_foil.png
