eye,onset,offset,duration,x,y,pupil_size,trial_id,task,stim_id
L,2987453,2989629,2177,930.6,499.2,7372,1,1_back,mst_120_A_l1.png
L,2989671,2991187,1517,933.2,456.1,6035,2,1_back,mst_063_A_l1.png
L,2991216,2992066,851,936.6,517.7,6529,2,1_back,mst_063_A_l1.png
L,2992091,2993510,1420,957.7,595.5,6205,3,1_back,mst_075_A_l1.png
L,2993532,2994604,1073,935.1,544.1,6677,3,1_back,mst_075_A_l1.png
L,2995041,2996276,1236,959.1,545.6,6297,4,1_back,mst_021_A_l1.png
L,2996294,2996749,456,965.8,508.9,6790,4,1_back,mst_021_A_l1.png
L,2996767,2998023,1257,972,504.8,6751,5,1_back,mst_021_B_l1.png
L,2998030,2999123,1094,965.1,522.3,6921,5,1_back,mst_021_B_l1.png
L,2999160,2999294,135,1099.4,570.1,6291,5,1_back,mst_021_B_l1.png
L,2999317,2999507,191,1125.3,613.3,6179,5,1_back,mst_021_B_l1.png
L,2999518,2999941,424,1112.4,581,6465,5,1_back,mst_021_B_l1.png
L,2999975,3001244,1270,957.3,545,6818,6,1_back,mst_275_A_l2.png
L,3001260,3001552,293,965.6,511,6544,6,1_back,mst_275_A_l2.png
L,3001567,3002908,1342,986.2,477.4,5585,7,1_back,mst_003_A_l1.png
L,3002923,3003194,272,950.4,499.1,5728,7,1_back,mst_003_A_l1.png
L,3003203,3003691,489,955.8,514.3,5998,7,1_back,mst_003_A_l1.png
L,3003828,3004013,186,996.5,479.3,5460,7,1_back,mst_003_A_l1.png
L,3004027,3004955,929,1006.5,481,5393,8,1_back,mst_238_A_l2.png
L,3004966,3005871,906,964.4,526.4,5486,8,1_back,mst_238_A_l2.png
L,3005893,3006128,236,964.6,567.2,5411,8,1_back,mst_238_A_l2.png
L,3006149,3006532,384,955.9,612.9,5456,8,1_back,mst_238_A_l2.png
L,3006563,3007160,598,957.9,509.9,5645,9,1_back,mst_023_A_l1.png
L,3007175,3008123,949,950.7,540.4,6183,9,1_back,mst_023_A_l1.png
L,3008363,3008714,352,953.1,536.9,5939,9,1_back,mst_023_A_l1.png
L,3008734,3009087,354,879.6,525.8,6155,9,1_back,mst_023_A_l1.png
L,3009114,3009342,229,984.6,541.8,6008,10,1_back,mst_223_A_foil.png
L,3009362,3009537,176,1029.4,522.8,5812,10,1_back,mst_223_A_foil.png
L,3009551,3010390,840,966.7,523,5786,10,1_back,mst_223_A_foil.png
L,3010412,3010753,342,960.3,561.9,5568,10,1_back,mst_223_A_foil.png
L,3010760,3011273,514,969.7,546,5091,10,1_back,mst_223_A_foil.png
L,3011293,3011817,525,982.6,506.2,5125,11,1_back,mst_223_A_foil.png
L,3011836,3012701,866,959.6,556.6,5213,11,1_back,mst_223_A_foil.png
L,3012714,3013897,1184,977.4,566.1,5589,12,1_back,mst_305_A_l2.png
L,3013910,3014883,974,957.5,547.5,6178,12,1_back,mst_305_A_l2.png
L,3014898,3014928,31,1010,547.8,5638,12,1_back,mst_305_A_l2.png
L,3015449,3015663,215,975.7,507,5276,12,1_back,mst_305_A_l2.png
L,3015684,3017118,1435,956.9,549.2,5616,13,1_back,mst_305_B_l2.png
L,3017145,3018275,1131,1027.7,544.8,5645,14,1_back,mst_280_A_l2.png
L,3018292,3019297,1006,953.9,544.5,5783,14,1_back,mst_280_A_l2.png
