eye,onset,offset,duration,start_x,start_y,end_x,end_y,trial_id,task,stim_id
L,31308659,31308672,14,941.1,524.3,896.7,523.2,1,1_back,mst_178_A_l1.png
L,31309362,31309372,11,917.2,527.3,947.6,536.4,1,1_back,mst_178_A_l1.png
L,31311632,31311648,17,941.6,528.3,911.3,487,2,1_back,mst_178_B_l1.png
L,31312475,31312487,13,908.2,482.9,940.9,504.1,3,1_back,mst_075_A_l1.png
L,31313417,31313432,16,929.2,503.8,977.8,519.4,3,1_back,mst_075_A_l1.png
L,31313609,31313800,192,977,535.3,958.9,519.9,3,1_back,mst_075_A_l1.png
L,31316009,31316014,6,966,527.6,982.6,527.1,4,1_back,mst_199_A_l2.png
L,31316718,31316725,8,963.3,511.1,946.7,515.8,4,1_back,mst_199_A_l2.png
L,31317000,31317149,150,954.5,537.2,955,497.1,5,1_back,mst_215_A_l2.png
L,31318033,31318039,7,961,527.6,979.1,526.6,5,1_back,mst_215_A_l2.png
L,31318403,31318416,14,985.4,535.2,948.9,541,5,1_back,mst_215_A_l2.png
L,31320291,31320302,12,957.5,528.1,999,540.6,6,1_back,mst_215_B_l2.png
L,31320495,31320513,19,1003.9,543.8,947,552,6,1_back,mst_215_B_l2.png
L,31320946,31320951,6,956.8,554.4,963.1,544.9,6,1_back,mst_215_B_l2.png
L,31322351,31322365,15,942.9,541.2,984.2,528.5,7,1_back,mst_265_A_l2.png
L,31322540,31322736,197,990.5,535.9,988.2,499.1,7,1_back,mst_265_A_l2.png
L,31323134,31323152,19,1001.7,546.5,952,504.8,7,1_back,mst_265_A_l2.png
L,31323755,31323767,13,972,506.8,973.7,535.3,8,1_back,mst_760_A_foil.png
L,31324636,31324656,21,962.2,532.1,1033,545.8,8,1_back,mst_760_A_foil.png
L,31325190,31325203,14,1038.9,525.8,997.3,543.5,8,1_back,mst_760_A_foil.png
L,31325669,31325689,21,984.5,553.5,1006.9,522.7,8,1_back,mst_760_A_foil.png
L,31326085,31326100,16,1017.5,505,975.8,526.8,9,1_back,mst_760_A_foil.png
L,31327155,31327167,13,976,532.7,1024.5,540,9,1_back,mst_760_A_foil.png
L,31327505,31327518,14,1028.3,532.4,976.8,536.1,9,1_back,mst_760_A_foil.png
