base_id,bin,pix_corr
mst_001,l1,-0.011909
mst_002,l1,0.641444
mst_003,l1,0.541073
mst_004,l1,0.185859
mst_005,l1,0.513240
mst_006,l1,0.602871
mst_007,l1,0.417356
mst_008,l1,0.656194
mst_009,l1,0.668913
mst_010,l1,0.351651
mst_011,l1,0.508262
mst_012,l1,0.810093
mst_013,l1,0.688802
mst_014,l1,-0.063769
mst_015,l1,0.506627
mst_016,l1,0.585725
mst_017,l1,0.616244
mst_018,l1,0.364123
mst_019,l1,0.566449
mst_020,l1,0.753024
mst_021,l1,0.718353
mst_022,l1,0.523449
mst_023,l1,0.554930
mst_024,l1,0.694807
mst_025,l1,0.584386
mst_026,l1,0.542282
mst_027,l1,0.854080
mst_028,l1,0.254063
mst_029,l1,0.484846
mst_030,l1,0.845233
mst_031,l1,0.762041
mst_032,l1,0.774663
mst_033,l1,0.564385
mst_034,l1,0.341748
mst_035,l1,0.525380
mst_036,l1,0.783446
mst_037,l1,0.645424
mst_038,l1,0.707141
mst_039,l1,0.468030
mst_040,l1,0.343240
mst_041,l1,0.039582
mst_042,l1,0.881558
mst_043,l1,0.636719
mst_044,l1,0.405415
mst_045,l1,0.393100
mst_046,l1,0.934310
mst_047,l1,0.480266
mst_048,l1,0.835477
mst_049,l1,0.303743
mst_050,l1,0.666785
mst_051,l1,0.486560
mst_052,l1,0.574366
mst_053,l1,0.852722
mst_054,l1,0.823230
mst_055,l1,0.740227
mst_056,l1,0.763038
mst_057,l1,0.429534
mst_058,l1,0.878874
mst_059,l1,0.687353
mst_060,l1,0.696672
mst_061,l1,0.444657
mst_062,l1,0.296640
mst_063,l1,0.721999
mst_064,l1,0.423784
mst_065,l1,0.770919
mst_066,l1,0.630656
mst_067,l1,0.381089
mst_068,l1,0.104442
mst_069,l1,0.450857
mst_070,l1,0.762524
mst_071,l1,0.173394
mst_072,l1,0.683547
mst_073,l1,0.675164
mst_074,l1,0.812064
mst_075,l1,0.843169
mst_076,l1,0.707673
mst_077,l1,0.013519
mst_078,l1,0.296230
mst_079,l1,0.532749
mst_080,l1,0.471871
mst_081,l1,0.414160
mst_082,l1,0.756737
mst_083,l1,0.709481
mst_084,l1,0.830030
mst_085,l1,0.411780
mst_086,l1,0.956251
mst_087,l1,0.705219
mst_088,l1,0.165351
mst_089,l1,0.771487
mst_090,l1,0.602735
mst_091,l1,0.523708
mst_092,l1,0.617703
mst_093,l1,0.618358
mst_094,l1,0.712461
mst_095,l1,0.632148
mst_096,l1,0.703985
mst_097,l1,0.308437
mst_098,l1,0.691689
mst_099,l1,0.855199
mst_100,l1,0.335143
mst_101,l1,0.744152
mst_102,l1,0.607283
mst_103,l1,0.065060
mst_104,l1,0.740550
mst_105,l1,0.664936
mst_106,l1,0.695618
mst_107,l1,0.541160
mst_108,l1,0.755812
mst_109,l1,0.904770
mst_110,l1,0.908090
mst_111,l1,0.436618
mst_112,l1,0.685792
mst_113,l1,0.277546
mst_114,l1,0.363649
mst_115,l1,0.322940
mst_116,l1,0.671565
