onset	duration	trial_type	stim_id	condition	identity	goal	corr_resp	block	fix_duration	subj_id	resp_key	rt
7.552	1.5	compared	mst_149_A_l3.png	compared	A	A-A	none	1	1.53781885305821	102	NA	NaN
10.342	1.5	novel	mst_218_A_l3.png	novel	A	A-B	none	1	1.27366517419981	102	NA	NaN
13.009	1.5	compared	mst_149_A_l3.png	compared	A	A-A	1	1	1.15987816083594	102	1	0.910812500864267
15.859	1.5	novel	mst_218_B_l3.png	novel	B	A-B	2	1	1.34009937731942	102	2	1.23688125610352
19.243	1.5	novel	mst_223_A_l3.png	novel	A	A-B	none	1	1.87098644747076	102	NA	NaN
23.217	1.5	novel	mst_045_A_l2.png	novel	A	A-N	none	1	2.46989137041493	102	NA	NaN
26.608	1.5	novel	mst_223_B_l3.png	novel	B	A-B	2	1	1.88197888200849	102	1	0.953046286478639
29.325	1.5	compared	mst_116_A_l2.png	compared	A	A-B	none	1	1.20463989580996	102	NA	NaN
31.567	1.5	novel	mst_102_A_l2.png	novel	A	A-A	none	1	0.728614011857753	102	NA	NaN
34.058	1.5	compared	mst_116_B_l2.png	compared	B	A-B	2	1	0.982982309614432	102	2	0.965162498876452
37.25	1.5	novel	mst_102_A_l2.png	novel	A	A-A	1	1	1.6831337271172	102	1	0.907512199133635
40.225	1.5	novel	mst_238_A_l3.png	novel	A	A-B	none	1	1.46224125203298	102	NA	NaN
43.317	1.5	novel	mst_129_A_l3.png	novel	A	A-A	none	1	1.58453784676147	102	NA	NaN
47.267	1.5	novel	mst_238_B_l3.png	novel	B	A-B	2	1	2.43865567127555	102	NA	NaN
50.283	1.5	novel	mst_129_A_l3.png	novel	A	A-A	1	1	1.50713177830113	102	1	-1.45159590430558
52.375	1.5	novel	mst_156_A_l3.png	novel	A	A-N	none	1	0.585337274062481	102	NA	NaN
56.242	1.5	compared	mst_195_A_l3.png	compared	A	A-B	none	1	2.35915241561041	102	NA	NaN
59.217	1.5	compared	mst_027_A_l2.png	compared	A	A-A	none	1	1.46442834087675	102	NA	NaN
62.675	1.5	compared	mst_195_B_l3.png	compared	B	A-B	2	1	1.9461123814398	102	2	0.870928659103811
66.267	1.5	compared	mst_027_A_l2.png	compared	A	A-A	1	1	2.08020199917105	102	1	0.870305611751974
69.434	1.5	compared	mst_090_A_l2.png	compared	A	A-A	none	1	1.65884953236532	102	NA	NaN
73.034	1.5	novel	mst_150_A_l3.png	novel	A	A-B	none	1	2.08680199682193	102	NA	NaN
75.85	1.5	compared	mst_090_A_l2.png	compared	A	A-A	1	1	1.30530513299542	102	1	0.864120029844344
78.684	1.5	novel	mst_150_B_l3.png	novel	B	A-B	2	1	1.32073018369526	102	NA	NaN
81.625	1.5	compared	mst_198_A_l3.png	compared	A	A-A	none	1	1.43327179760803	102	1	-1.41482008714229
84.134	1.5	novel	mst_145_A_l3.png	novel	A	A-A	none	1	1.00084099990947	102	2	1.19191223941743
87.909	1.5	compared	mst_198_A_l3.png	compared	A	A-A	1	1	2.26160480042761	102	1	0.861957035027444
90.325	1.5	novel	mst_145_A_l3.png	novel	A	A-A	1	1	0.906997607962005	102	1	1.20232367888093
93.842	1.5	compared	mst_053_A_l2.png	compared	A	A-B	none	1	2.00431822018112	102	NA	NaN
96.692	1.5	novel	mst_120_A_l2.png	novel	A	A-A	none	1	1.34120374033607	102	NA	NaN
99.825	1.5	compared	mst_053_B_l2.png	compared	B	A-B	2	1	1.62388533076285	102	1	0.778478660620749
101.992	1.5	novel	mst_120_A_l2.png	novel	A	A-A	1	1	0.65599435103468	102	1	0.840869377367198
105.167	1.5	novel	mst_044_A_l2.png	novel	A	A-N	none	1	1.66192034084758	102	NA	NaN
108.0	1.5	novel	mst_188_A_l3.png	novel	A	A-B	none	1	1.32378882597033	102	NA	NaN
110.225	1.5	novel	mst_096_A_l2.png	novel	A	A-N	none	1	0.71273285501961	102	NA	NaN
113.192	1.5	novel	mst_188_B_l3.png	novel	B	A-B	2	1	1.45382644795093	102	1	1.49201374407858
115.309	1.5	compared	mst_006_A_l2.png	compared	A	A-N	none	1	0.603330963354551	102	NA	NaN
118.392	1.5	novel	mst_032_A_l2.png	novel	A	A-N	none	1	1.5718038981778	102	NA	NaN
121.092	1.5	compared	mst_210_A_l3.png	compared	A	A-B	none	1	1.19139292037233	102	NA	NaN
124.825	1.5	novel	mst_109_A_l2.png	novel	A	A-A	none	1	2.22109662384935	102	NA	NaN
127.559	1.5	compared	mst_210_B_l3.png	compared	B	A-B	2	1	1.22200209714994	102	2	0.830565131269395
130.484	1.5	novel	mst_109_A_l2.png	novel	A	A-A	1	1	1.41677784990685	102	1	0.809609597548842
133.359	1.5	novel	mst_013_A_l2.png	novel	A	A-N	none	1	1.36655114863268	102	NA	NaN
136.067	1.5	compared	mst_175_A_l3.png	compared	A	A-B	none	1	1.19560780567981	102	NA	NaN
139.884	1.5	novel	mst_127_A_l3.png	novel	A	A-B	none	1	2.31066768731975	102	NA	NaN
141.925	1.5	compared	mst_175_B_l3.png	compared	B	A-B	2	1	0.535361974444536	102	2	1.34618712216616
144.284	1.5	novel	mst_127_B_l3.png	novel	B	A-B	2	1	0.846652497735144	102	2	1.22877543605864
146.459	1.5	novel	mst_153_A_l3.png	novel	A	A-B	none	1	0.669135721408139	102	NA	NaN
148.925	1.5	novel	mst_065_A_l2.png	novel	A	A-A	none	1	0.960369787928134	102	NA	NaN
151.667	1.5	novel	mst_153_B_l3.png	novel	B	A-B	2	1	1.23112345573971	102	2	0.766546714119613
154.642	1.5	novel	mst_065_A_l2.png	novel	A	A-A	1	1	1.46209770471226	102	1	0.788644973188639
158.426	1.5	compared	mst_143_A_l3.png	compared	A	A-N	none	1	2.2761962844623	102	NA	NaN
162.409	1.5	compared	mst_056_A_l2.png	compared	A	A-N	none	1	2.47082292234392	102	NA	NaN
166.134	1.5	novel	mst_025_A_l2.png	novel	A	A-A	none	1	2.21483583179479	102	NA	NaN
168.567	1.5	compared	mst_219_A_l3.png	compared	A	A-N	none	1	0.922114812070489	102	NA	NaN
171.542	1.5	novel	mst_025_A_l2.png	novel	A	A-A	1	1	1.4687544793347	102	NA	NaN
173.559	1.5	compared	mst_202_A_l3.png	compared	A	A-N	none	1	0.511360172158237	102	NA	NaN
176.501	1.5	novel	mst_187_A_l3.png	novel	A	A-B	none	1	1.42932256349464	102	NA	NaN
180.359	1.5	compared	mst_083_A_l2.png	compared	A	A-N	none	1	2.3453451655374	102	NA	NaN
182.484	1.5	novel	mst_187_B_l3.png	novel	B	A-B	2	1	0.618526224223996	102	NA	NaN
186.401	1.5	compared	mst_164_A_l3.png	compared	A	A-B	none	1	2.41041021172231	102	2	-2.35913903824985
189.909	1.5	compared	mst_212_A_l3.png	compared	A	A-N	none	1	2.00254286206214	102	NA	NaN
192.676	1.5	compared	mst_164_B_l3.png	compared	B	A-B	2	1	1.25866788240115	102	NA	NaN
195.534	1.5	novel	mst_028_A_l2.png	novel	A	A-N	none	1	1.35019061866633	102	NA	NaN
