onset	duration	trial_type	stim_id	condition	identity	corr_resp	block	fix_duration	subj_id	resp_key	rt
8.366	1.5	compared	mst_197_A_l3.png	compared	A	none	4	2.35999166875942	102	NA	NaN
11.241	1.5	compared	mst_197_B_l3.png	compared	B	2	4	1.36356956584971	102	NA	NaN
14.133	1.5	filler	mst_183_A_foil.png	filler	F	none	4	1.38541332053395	102	NA	NaN
16.591	1.5	repeat	mst_282_A_l4.png	repeat	A	none	4	0.949199556460979	102	NA	NaN
19.575	1.5	repeat	mst_282_A_l4.png	repeat	A	1	4	1.47117235494377	102	1	0.698620614595711
23.458	1.5	filler	mst_182_A_foil.png	filler	F	none	4	2.37375078500494	102	NA	NaN
26.925	1.5	compared	mst_047_A_l2.png	compared	A	none	4	1.95987652782498	102	NA	NaN
29.425	1.5	compared	mst_047_B_l2.png	compared	B	2	4	0.98863336469051	102	1	1.17177593056113
31.967	1.5	filler	mst_096_A_foil.png	filler	F	none	4	1.02938000355046	102	NA	NaN
35.358	1.5	compared	mst_172_A_l3.png	compared	A	none	4	1.87978395964005	102	NA	NaN
38.25	1.5	compared	mst_172_B_l3.png	compared	B	2	4	1.38192899387103	102	2	0.654897972010076
41.258	1.5	repeat	mst_275_A_l4.png	repeat	A	none	4	1.50176863312152	102	NA	NaN
43.667	1.5	repeat	mst_275_A_l4.png	repeat	A	1	4	0.900803994878812	102	1	0.885340631008148
46.608	1.5	compared	mst_232_A_l3.png	compared	A	none	4	1.43226353025597	102	NA	NaN
49.433	1.5	compared	mst_232_B_l3.png	compared	B	2	4	1.3143827929223	102	2	0.75769595336169
52.633	1.5	repeat	mst_316_A_l4.png	repeat	A	none	4	1.68992328579218	102	NA	NaN
54.717	1.5	repeat	mst_316_A_l4.png	repeat	A	1	4	0.576235895504031	102	1	0.73149065580219
58.625	1.5	filler	mst_215_A_foil.png	filler	F	none	4	2.39758998456115	102	NA	NaN
60.733	1.5	filler	mst_082_A_foil.png	filler	F	none	4	0.59965831811468	102	NA	NaN
63.717	1.5	filler	mst_184_A_foil.png	filler	F	none	4	1.47456126383598	102	NA	NaN
67.042	1.5	compared	mst_040_A_l2.png	compared	A	none	4	1.81764160840951	102	NA	NaN
69.167	1.5	compared	mst_040_B_l2.png	compared	B	2	4	0.613265495571589	102	2	0.8086560331285
72.283	1.5	filler	mst_009_A_foil.png	filler	F	none	4	1.6057409736418	102	NA	NaN
74.958	1.5	compared	mst_078_A_l2.png	compared	A	none	4	1.16650006703662	102	NA	NaN
78.392	1.5	compared	mst_078_B_l2.png	compared	B	2	4	1.92165648031265	102	2	0.791820184327662
81.192	1.5	filler	mst_196_A_foil.png	filler	F	none	4	1.2870600696436	102	NA	NaN
85.075	1.5	compared	mst_022_A_l2.png	compared	A	none	4	2.37759586463964	102	NA	NaN
87.658	1.5	compared	mst_022_B_l2.png	compared	B	2	4	1.07631096094971	102	2	0.797294516116381
90.2	1.5	filler	mst_218_A_foil.png	filler	F	none	4	1.03622074451245	102	NA	NaN
92.367	1.5	compared	mst_139_A_l3.png	compared	A	none	4	0.658611726124033	102	NA	NaN
94.709	1.5	compared	mst_139_B_l3.png	compared	B	2	4	0.831648544661224	102	2	0.821394352242351
97.225	1.5	filler	mst_116_A_foil.png	filler	F	none	4	1.00815634962619	102	NA	NaN
100.025	1.5	compared	mst_043_A_l2.png	compared	A	none	4	1.28829369914366	102	NA	NaN
103.175	1.5	compared	mst_043_B_l2.png	compared	B	2	4	1.63807149663077	102	NA	NaN
106.709	1.5	repeat	mst_268_A_l4.png	repeat	A	none	4	2.02218765960779	102	NA	NaN
109.784	1.5	repeat	mst_268_A_l4.png	repeat	A	1	4	1.56793009517456	102	1	1.02659306954592
112.359	1.5	compared	mst_190_A_l3.png	compared	A	none	4	1.06745529441467	102	NA	NaN
115.667	1.5	compared	mst_190_B_l3.png	compared	B	2	4	1.79887187216584	102	2	0.772392225451767
118.842	1.5	repeat	mst_302_A_l4.png	repeat	A	none	4	1.66673871361198	102	NA	NaN
122.525	1.5	repeat	mst_302_A_l4.png	repeat	A	1	4	2.17757133887683	102	1	1.17319476325065
125.242	1.5	repeat	mst_242_A_l4.png	repeat	A	none	4	1.20727543221977	102	NA	NaN
127.775	1.5	repeat	mst_242_A_l4.png	repeat	A	1	4	1.02747142218255	102	1	1.06128670088947
131.542	1.5	filler	mst_217_A_foil.png	filler	F	none	4	2.25385042738509	102	NA	NaN
134.159	1.5	compared	mst_076_A_l2.png	compared	A	none	4	1.10413531975704	102	NA	NaN
136.659	1.5	compared	mst_076_B_l2.png	compared	B	2	4	0.989848755032968	102	2	0.815973560325801
139.092	1.5	repeat	mst_272_A_l4.png	repeat	A	none	4	0.923229947733695	102	NA	NaN
143.017	1.5	repeat	mst_272_A_l4.png	repeat	A	1	4	2.41773199178447	102	1	1.02273845672607
145.3	1.5	filler	mst_188_A_foil.png	filler	F	none	4	0.771057827601993	102	NA	NaN
148.884	1.5	repeat	mst_266_A_l4.png	repeat	A	none	4	2.07699882994663	102	NA	NaN
152.634	1.5	repeat	mst_266_A_l4.png	repeat	A	1	4	2.24403949525884	102	2	0.801248339936137
155.717	1.5	compared	mst_191_A_l3.png	compared	A	none	4	1.5716084384779	102	NA	NaN
157.759	1.5	compared	mst_191_B_l3.png	compared	B	2	4	0.53499015827324	102	2	0.895336285233498
160.259	1.5	repeat	mst_263_A_l4.png	repeat	A	none	4	0.990434475705647	102	NA	NaN
